À—À˜’º”√◊ ‘¥±»¿˝	0.00869318
∏˙◊Ÿ’º”√◊ ‘¥±»¿˝	0.317314
≥…œÒ’º”√◊ ‘¥±»¿˝	0
ø’œ–◊ ‘¥±»¿˝	0.673992
 ±º‰(√Î)	∫Ωº£∫≈	¬À≤®–±æ‡(√◊)	’Ê÷µ–±æ‡(√◊)	¬À≤®∑ΩŒª(∂»)	’Ê÷µ∑ΩŒª(∂»)	¬À≤®∏©—ˆ(∂»)	’Ê÷µ∏©—ˆ(∂»)	¬À≤®ÀŸ∂»(m/s)	’Ê÷µÀŸ∂»(m/s)	RCS	∫Ωº£◊¥Ã¨
1352.6000	1	2216872.1034	2215987.1199	348.7724	348.7725	30.4283	30.4283	-4054.8801	-4051.1549	-1.0000	Œ»∂®∫Ωº£
1352.6340	2	2216061.6034	2215849.3773	348.7706	348.7706	30.4315	30.4314	-4056.2288	-4051.0702	-1.0000	Œ»∂®∫Ωº£
1352.8000	1	2216061.4668	2215176.9399	348.7615	348.7616	30.4463	30.4464	-4053.8935	-4050.6561	-1.0000	Œ»∂®∫Ωº£
1352.8340	2	2215250.7550	2215039.2142	348.7597	348.7597	30.4495	30.4495	-4054.1535	-4050.5712	-1.0000	Œ»∂®∫Ωº£
1353.0000	1	2215250.8461	2214366.8597	348.7507	348.7507	30.4643	30.4644	-4054.0158	-4050.1564	-1.0000	Œ»∂®∫Ωº£
1353.0340	2	2214439.9599	2214229.1510	348.7488	348.7489	30.4676	30.4675	-4054.0244	-4050.0714	-1.0000	Œ»∂®∫Ωº£
1353.2000	1	2214440.2808	2213556.8796	348.7398	348.7398	30.4824	30.4825	-4052.7825	-4049.6560	-1.0000	Œ»∂®∫Ωº£
1353.2340	2	2213629.2518	2213419.1879	348.7379	348.7379	30.4857	30.4856	-4052.6953	-4049.5708	-1.0000	Œ»∂®∫Ωº£
1353.4000	1	2213629.8277	2212746.9996	348.7289	348.7289	30.5005	30.5005	-4050.5679	-4049.1547	-1.0000	Œ»∂®∫Ωº£
1353.4340	2	2212818.5745	2212609.3249	348.7269	348.7270	30.5037	30.5036	-4053.9485	-4049.0694	-1.0000	Œ»∂®∫Ωº£
1353.6000	1	2212819.4629	2211937.2199	348.7179	348.7179	30.5185	30.5186	-4051.0322	-4048.6527	-1.0000	Œ»∂®∫Ωº£
1353.6340	2	2212007.9707	2211799.5623	348.7160	348.7161	30.5218	30.5217	-4052.4941	-4048.5672	-1.0000	Œ»∂®∫Ωº£
1353.8000	1	2212009.2133	2211127.5407	348.7070	348.7070	30.5366	30.5367	-4049.6106	-4048.1498	-1.0000	Œ»∂®∫Ωº£
1353.8340	2	2211197.4286	2210989.9002	348.7051	348.7051	30.5399	30.5398	-4052.4407	-4048.0643	-1.0000	Œ»∂®∫Ωº£
1354.0000	1	2211199.0333	2210317.9622	348.6960	348.6960	30.5547	30.5548	-4050.5329	-4047.6462	-1.0000	Œ»∂®∫Ωº£
1354.0340	2	2210386.9750	2210180.3388	348.6942	348.6942	30.5580	30.5579	-4051.3704	-4047.5605	-1.0000	Œ»∂®∫Ωº£
1354.2000	1	2210388.9860	2209508.4845	348.6850	348.6851	30.5728	30.5729	-4048.2131	-4047.1417	-1.0000	Œ»∂®∫Ωº£
1354.2340	2	2209576.6606	2209370.8783	348.6832	348.6832	30.5761	30.5759	-4049.2346	-4047.0559	-1.0000	Œ»∂®∫Ωº£
1354.4000	1	2209579.0058	2208699.1077	348.6740	348.6741	30.5909	30.5910	-4049.7926	-4046.6365	-1.0000	Œ»∂®∫Ωº£
1354.4340	2	2208766.4277	2208561.5187	348.6722	348.6722	30.5942	30.5940	-4050.5040	-4046.5505	-1.0000	Œ»∂®∫Ωº£
1354.6000	1	2208769.1347	2207889.8321	348.6630	348.6631	30.6090	30.6091	-4048.0155	-4046.1304	-1.0000	Œ»∂®∫Ωº£
1354.6340	2	2207956.3168	2207752.2603	348.6613	348.6612	30.6123	30.6121	-4048.7633	-4046.0443	-1.0000	Œ»∂®∫Ωº£
1354.8000	1	2207959.3897	2207080.6578	348.6520	348.6521	30.6271	30.6272	-4046.9398	-4045.6236	-1.0000	Œ»∂®∫Ωº£
1354.8340	2	2207146.3240	2206943.1032	348.6502	348.6502	30.6304	30.6303	-4048.5145	-4045.5373	-1.0000	Œ»∂®∫Ωº£
1355.0000	1	2207149.7338	2206271.5849	348.6410	348.6410	30.6452	30.6453	-4047.6935	-4045.1159	-1.0000	Œ»∂®∫Ωº£
1355.0340	2	2206336.4706	2206134.0476	348.6392	348.6392	30.6486	30.6484	-4047.1927	-4045.0295	-1.0000	Œ»∂®∫Ωº£
1355.2000	1	2206340.2197	2205462.6137	348.6300	348.6300	30.6633	30.6634	-4045.5522	-4044.6074	-1.0000	Œ»∂®∫Ωº£
1355.2340	2	2205526.7497	2205325.0937	348.6281	348.6281	30.6667	30.6665	-4046.7904	-4044.5209	-1.0000	Œ»∂®∫Ωº£
1355.4000	1	2205530.8312	2204653.7442	348.6189	348.6190	30.6815	30.6816	-4045.4062	-4044.0981	-1.0000	Œ»∂®∫Ωº£
1355.4340	2	2204717.1439	2204516.2415	348.6170	348.6171	30.6848	30.6846	-4046.9449	-4044.0115	-1.0000	Œ»∂®∫Ωº£
1355.6000	1	2204721.5701	2203844.9767	348.6078	348.6079	30.6996	30.6997	-4044.8385	-4043.5880	-1.0000	Œ»∂®∫Ωº£
1355.6340	2	2203907.6882	2203707.4913	348.6059	348.6060	30.7030	30.7028	-4045.2029	-4043.5012	-1.0000	Œ»∂®∫Ωº£
1355.8000	1	2203912.3997	2203036.3113	348.5968	348.5968	30.7177	30.7179	-4045.5977	-4043.0771	-1.0000	Œ»∂®∫Ωº£
1355.8340	2	2203098.3550	2202898.8433	348.5949	348.5949	30.7211	30.7209	-4045.3811	-4042.9902	-1.0000	Œ»∂®∫Ωº£
1356.0000	1	2203103.3422	2202227.7481	348.5857	348.5857	30.7359	30.7360	-4044.3933	-4042.5654	-1.0000	Œ»∂®∫Ωº£
1356.0340	2	2202289.1727	2202090.2975	348.5838	348.5838	30.7393	30.7391	-4043.9519	-4042.4783	-1.0000	Œ»∂®∫Ωº£
1356.2000	1	2202294.4062	2201419.2873	348.5746	348.5746	30.7540	30.7542	-4043.5227	-4042.0528	-1.0000	Œ»∂®∫Ωº£
1356.2340	2	2201480.1277	2201281.8542	348.5727	348.5727	30.7574	30.7573	-4043.8471	-4041.9656	-1.0000	Œ»∂®∫Ωº£
1356.4000	1	2201485.6153	2200610.9292	348.5635	348.5635	30.7722	30.7723	-4042.2476	-4041.5395	-1.0000	Œ»∂®∫Ωº£
1356.4340	2	2200671.2426	2200473.5135	348.5616	348.5616	30.7756	30.7754	-4042.4816	-4041.4521	-1.0000	Œ»∂®∫Ωº£
1356.6000	1	2200676.9375	2199802.6738	348.5523	348.5524	30.7904	30.7905	-4042.7535	-4041.0253	-1.0000	Œ»∂®∫Ωº£
1356.6340	2	2199862.4539	2199665.2756	348.5505	348.5505	30.7938	30.7936	-4044.0042	-4040.9378	-1.0000	Œ»∂®∫Ωº£
1356.8000	1	2199868.3722	2198994.5213	348.5412	348.5412	30.8086	30.8087	-4042.2684	-4040.5103	-1.0000	Œ»∂®∫Ωº£
1356.8340	2	2199053.8107	2198857.1406	348.5393	348.5393	30.8119	30.8118	-4041.7274	-4040.4227	-1.0000	Œ»∂®∫Ωº£
1357.0000	1	2199059.8950	2198186.4719	348.5300	348.5301	30.8267	30.8269	-4042.4692	-4039.9945	-1.0000	Œ»∂®∫Ωº£
1357.0340	2	2198245.2781	2198049.1087	348.5281	348.5282	30.8301	30.8300	-4042.3711	-4039.9067	-1.0000	Œ»∂®∫Ωº£
1357.2000	1	2198251.5372	2197378.5258	348.5188	348.5189	30.8449	30.8451	-4041.0448	-4039.4779	-1.0000	Œ»∂®∫Ωº£
1357.2340	2	2197436.8436	2197241.1801	348.5169	348.5170	30.8483	30.8482	-4042.3073	-4039.3900	-1.0000	Œ»∂®∫Ωº£
1357.4000	1	2197443.3153	2196570.6830	348.5076	348.5077	30.8631	30.8633	-4039.9610	-4038.9604	-1.0000	Œ»∂®∫Ωº£
1357.4340	2	2196628.5172	2196433.3550	348.5058	348.5058	30.8665	30.8664	-4041.3673	-4038.8724	-1.0000	Œ»∂®∫Ωº£
1357.6000	1	2196635.2130	2195762.9438	348.4964	348.4965	30.8814	30.8815	-4039.8649	-4038.4421	-1.0000	Œ»∂®∫Ωº£
1357.6340	2	2195820.3303	2195625.6334	348.4945	348.4946	30.8847	30.8846	-4039.8856	-4038.3539	-1.0000	Œ»∂®∫Ωº£
1357.8000	1	2195827.2527	2194955.3084	348.4852	348.4853	30.8996	30.8997	-4038.5521	-4037.9230	-1.0000	Œ»∂®∫Ωº£
1357.8340	2	2195012.2724	2194818.0157	348.4833	348.4834	30.9029	30.9028	-4039.5647	-4037.8347	-1.0000	Œ»∂®∫Ωº£
1358.0000	1	2195019.4060	2194147.7769	348.4740	348.4741	30.9178	30.9180	-4038.9715	-4037.4031	-1.0000	Œ»∂®∫Ωº£
1358.0340	2	2194204.3708	2194010.5018	348.4721	348.4722	30.9212	30.9211	-4038.0398	-4037.3146	-1.0000	Œ»∂®∫Ωº£
1358.2000	1	2194211.6947	2193340.3494	348.4628	348.4628	30.9361	30.9362	-4037.5893	-4036.8823	-1.0000	Œ»∂®∫Ωº£
