À—À˜’º”√◊ ‘¥±»¿˝	0.00434659
∏˙◊Ÿ’º”√◊ ‘¥±»¿˝	0.162764
≥…œÒ’º”√◊ ‘¥±»¿˝	0
ø’œ–◊ ‘¥±»¿˝	0.83289
 ±º‰(√Î)	∫Ωº£∫≈	¬À≤®–±æ‡(√◊)	’Ê÷µ–±æ‡(√◊)	¬À≤®∑ΩŒª(∂»)	’Ê÷µ∑ΩŒª(∂»)	¬À≤®∏©—ˆ(∂»)	’Ê÷µ∏©—ˆ(∂»)	¬À≤®ÀŸ∂»(m/s)	’Ê÷µÀŸ∂»(m/s)	RCS	∫Ωº£◊¥Ã¨
1355.6000	0	2203845.1468	2203844.9767	348.6081	348.6079	30.6988	30.6997	-4043.3583	-4043.5880	0.9703	Œ»∂®∫Ωº£
1355.8000	0	2203036.4890	2203036.3113	348.5971	348.5968	30.7169	30.7179	-4043.3547	-4043.0771	0.9479	Œ»∂®∫Ωº£
1356.0000	0	2202227.9127	2202227.7481	348.5862	348.5857	30.7350	30.7360	-4043.3361	-4042.5654	0.8831	Œ»∂®∫Ωº£
1356.2000	0	2201419.4160	2201419.2873	348.5750	348.5746	30.7532	30.7542	-4043.3050	-4042.0528	0.6546	Œ»∂®∫Ωº£
1356.4000	0	2200611.0605	2200610.9292	348.5637	348.5635	30.7714	30.7723	-4040.7947	-4041.5395	0.8966	Œ»∂®∫Ωº£
1356.6000	0	2199802.8183	2199802.6738	348.5524	348.5524	30.7897	30.7905	-4040.8102	-4041.0253	0.9590	Œ»∂®∫Ωº£
1356.8000	0	2198994.6608	2198994.5213	348.5414	348.5412	30.8077	30.8087	-4040.8063	-4040.5103	0.9878	Œ»∂®∫Ωº£
1357.0000	0	2198186.6028	2198186.4719	348.5302	348.5301	30.8260	30.8269	-4040.7893	-4039.9945	0.8634	Œ»∂®∫Ωº£
1357.2000	0	2197378.6908	2197378.5258	348.5189	348.5189	30.8443	30.8451	-4038.2889	-4039.4779	0.7091	Œ»∂®∫Ωº£
1357.4000	0	2196570.8935	2196570.6830	348.5080	348.5077	30.8625	30.8633	-4038.3134	-4038.9604	0.8654	Œ»∂®∫Ωº£
1357.6000	0	2195763.2097	2195762.9438	348.4970	348.4965	30.8808	30.8815	-4038.3183	-4038.4421	0.9697	Œ»∂®∫Ωº£
1357.8000	0	2194955.6263	2194955.3084	348.4856	348.4853	30.8991	30.8997	-4038.3042	-4037.9230	0.9912	Œ»∂®∫Ωº£
1358.0000	0	2194148.1165	2194147.7769	348.4743	348.4741	30.9172	30.9180	-4038.2739	-4037.4031	0.8307	Œ»∂®∫Ωº£
1358.2000	0	2193340.7470	2193340.3494	348.4631	348.4628	30.9355	30.9362	-4035.7658	-4036.8823	0.6811	Œ»∂®∫Ωº£
1358.4000	0	2192533.5021	2192533.0262	348.4519	348.4516	30.9537	30.9545	-4035.7839	-4036.3608	0.8605	Œ»∂®∫Ωº£
1358.6000	0	2191726.3607	2191725.8074	348.4406	348.4403	30.9720	30.9727	-4035.7806	-4035.8383	1.0044	Œ»∂®∫Ωº£
1358.8000	0	2190919.3208	2190918.6931	348.4293	348.4290	30.9905	30.9910	-4035.7604	-4035.3151	0.9992	Œ»∂®∫Ωº£
1359.0000	0	2190112.3541	2190111.6836	348.4178	348.4178	31.0088	31.0092	-4035.7240	-4034.7910	0.8385	Œ»∂®∫Ωº£
1359.2000	0	2189305.5213	2189304.7790	348.4064	348.4064	31.0270	31.0275	-4033.2101	-4034.2661	0.6842	Œ»∂®∫Ωº£
1359.4000	0	2188498.8051	2188497.9794	348.3953	348.3951	31.0453	31.0458	-4033.2237	-4033.7404	0.8709	Œ»∂®∫Ωº£
1359.6000	0	2187692.1921	2187691.2851	348.3840	348.3838	31.0636	31.0641	-4033.2177	-4033.2138	0.9436	Œ»∂®∫Ωº£
1359.8000	0	2186885.6628	2186884.6961	348.3728	348.3724	31.0819	31.0824	-4033.1949	-4032.6864	0.9577	Œ»∂®∫Ωº£
1360.0000	0	2186079.2149	2186078.2128	348.3615	348.3611	31.1002	31.1007	-4033.1595	-4032.1581	0.8370	Œ»∂®∫Ωº£
1360.2000	0	2185272.9010	2185271.8351	348.3502	348.3497	31.1185	31.1190	-4030.6448	-4031.6290	0.6883	Œ»∂®∫Ωº£
1360.4000	0	2184466.7060	2184465.5634	348.3388	348.3383	31.1368	31.1373	-4030.6576	-4031.0991	0.9032	Œ»∂®∫Ωº£
1360.6000	0	2183660.6149	2183659.3977	348.3274	348.3269	31.1551	31.1556	-4030.6503	-4030.5683	0.9611	Œ»∂®∫Ωº£
1360.8000	0	2182854.6114	2182853.3383	348.3159	348.3155	31.1734	31.1740	-4030.6261	-4030.0367	0.9500	Œ»∂®∫Ωº£
1361.0000	0	2182048.6833	2182047.3853	348.3044	348.3041	31.1918	31.1923	-4030.5884	-4029.5043	0.7947	Œ»∂®∫Ωº£
1361.2000	0	2181242.8954	2181241.5389	348.2929	348.2926	31.2102	31.2106	-4028.0728	-4028.9710	0.7156	Œ»∂®∫Ωº£
1361.4000	0	2180437.2236	2180435.7992	348.2813	348.2812	31.2286	31.2290	-4028.0835	-4028.4368	0.8537	Œ»∂®∫Ωº£
1361.6000	0	2179631.6426	2179630.1664	348.2700	348.2697	31.2469	31.2474	-4028.0746	-4027.9018	0.9533	Œ»∂®∫Ωº£
1361.8000	0	2178826.1476	2178824.6407	348.2586	348.2582	31.2652	31.2657	-4028.0515	-4027.3660	0.9580	Œ»∂®∫Ωº£
1362.0000	0	2178020.7360	2178019.2223	348.2470	348.2467	31.2836	31.2841	-4028.0153	-4026.8292	0.8128	Œ»∂®∫Ωº£
1362.2000	0	2177215.4550	2177213.9113	348.2356	348.2352	31.3019	31.3025	-4025.4994	-4026.2917	0.7752	Œ»∂®∫Ωº£
1362.4000	0	2176410.2951	2176408.7079	348.2240	348.2237	31.3204	31.3209	-4025.5117	-4025.7533	0.9323	Œ»∂®∫Ωº£
1362.6000	0	2175605.2312	2175603.6123	348.2125	348.2121	31.3387	31.3393	-4025.5034	-4025.2140	0.9993	Œ»∂®∫Ωº£
1362.8000	0	2174800.2554	2174798.6246	348.2010	348.2006	31.3571	31.3577	-4025.4798	-4024.6739	0.8826	Œ»∂®∫Ωº£
1363.0000	0	2173995.3530	2173993.7450	348.1893	348.1890	31.3755	31.3761	-4025.4426	-4024.1329	0.7541	Œ»∂®∫Ωº£
1363.2000	0	2173190.5883	2173188.9737	348.1778	348.1774	31.3939	31.3945	-4022.9278	-4023.5911	0.8009	Œ»∂®∫Ωº£
1363.4000	0	2172385.9402	2172384.3108	348.1660	348.1658	31.4123	31.4129	-4022.9397	-4023.0484	0.9838	Œ»∂®∫Ωº£
1363.6000	0	2171581.3948	2171579.7566	348.1544	348.1542	31.4308	31.4314	-4022.9319	-4022.5049	0.9704	Œ»∂®∫Ωº£
1363.8000	0	2170776.9382	2170775.3112	348.1427	348.1426	31.4493	31.4498	-4022.9075	-4021.9604	0.8404	Œ»∂®∫Ωº£
1364.0000	0	2169972.5496	2169970.9747	348.1311	348.1310	31.4678	31.4683	-4022.8693	-4021.4152	0.6552	Œ»∂®∫Ωº£
1364.2000	0	2169168.2978	2169166.7474	348.1195	348.1193	31.4863	31.4867	-4020.3547	-4020.8690	0.8236	Œ»∂®∫Ωº£
1364.4000	0	2168364.1605	2168362.6294	348.1079	348.1076	31.5047	31.5052	-4020.3670	-4020.3220	1.0129	Œ»∂®∫Ωº£
1364.6000	0	2167560.1210	2167558.6208	348.0962	348.0960	31.5231	31.5237	-4020.3600	-4019.7741	0.9322	Œ»∂®∫Ωº£
1364.8000	0	2166756.1676	2166754.7220	348.0845	348.0843	31.5415	31.5422	-4020.3372	-4019.2254	0.8071	Œ»∂®∫Ωº£
1365.0000	0	2165952.3708	2165950.9330	348.0726	348.0726	31.5601	31.5607	-4017.8342	-4018.6758	0.7417	Œ»∂®∫Ωº£
1365.2000	0	2165148.6893	2165147.2540	348.0610	348.0608	31.5785	31.5791	-4017.8539	-4018.1253	0.9357	Œ»∂®∫Ωº£
1365.4000	0	2164345.1265	2164343.6851	348.0492	348.0491	31.5970	31.5977	-4017.8542	-4017.5739	0.9887	Œ»∂®∫Ωº£
1365.6000	0	2163541.6582	2163540.2267	348.0373	348.0373	31.6156	31.6162	-4017.8346	-4017.0217	0.9362	Œ»∂®∫Ωº£
1365.8000	0	2162738.2633	2162736.8788	348.0257	348.0256	31.6341	31.6347	-4017.8002	-4016.4686	0.7021	Œ»∂®∫Ωº£
1366.0000	0	2161935.0121	2161933.6415	348.0139	348.0138	31.6527	31.6532	-4015.2884	-4015.9146	0.8373	Œ»∂®∫Ωº£
1366.2000	0	2161131.8856	2161130.5152	348.0021	348.0020	31.6713	31.6717	-4015.3022	-4015.3597	0.9606	Œ»∂®∫Ωº£
1366.4000	0	2160328.8628	2160327.4999	347.9902	347.9902	31.6899	31.6903	-4015.2947	-4014.8040	0.9845	Œ»∂®∫Ωº£
1366.6000	0	2159525.9314	2159524.5959	347.9784	347.9784	31.7085	31.7088	-4015.2705	-4014.2474	0.8071	Œ»∂®∫Ωº£
1366.8000	0	2158723.1442	2158721.8033	347.9665	347.9665	31.7270	31.7274	-4012.7651	-4013.6899	0.7035	Œ»∂®∫Ωº£
1367.0000	0	2157920.4867	2157919.1222	347.9547	347.9547	31.7455	31.7460	-4012.7851	-4013.1315	0.8875	Œ»∂®∫Ωº£
1367.2000	0	2157117.9400	2157116.5530	347.9429	347.9428	31.7641	31.7645	-4012.7830	-4012.5722	0.9749	Œ»∂®∫Ωº£
1367.4000	0	2156315.5011	2156314.0956	347.9309	347.9309	31.7829	31.7831	-4012.7628	-4012.0121	0.9222	Œ»∂®∫Ωº£
1367.6000	0	2155513.1365	2155511.7504	347.9189	347.9190	31.8015	31.8017	-4012.7252	-4011.4510	0.7149	Œ»∂®∫Ωº£
1367.8000	0	2154710.9126	2154709.5175	347.9070	347.9071	31.8201	31.8203	-4010.2101	-4010.8891	0.8071	Œ»∂®∫Ωº£
1368.0000	0	2153908.8153	2153907.3971	347.8950	347.8952	31.8387	31.8389	-4010.2214	-4010.3263	0.9731	Œ»∂®∫Ωº£
1368.2000	0	2153106.8121	2153105.3893	347.8831	347.8832	31.8572	31.8575	-4010.2112	-4009.7626	0.9995	Œ»∂®∫Ωº£
1368.4000	0	2152304.9082	2152303.4944	347.8711	347.8713	31.8758	31.8761	-4010.1864	-4009.1980	0.8338	Œ»∂®∫Ωº£
1368.6000	0	2151503.1566	2151501.7124	347.8591	347.8593	31.8945	31.8947	-4007.6789	-4008.6325	0.6830	Œ»∂®∫Ωº£
1368.8000	0	2150701.5330	2150700.0437	347.8471	347.8473	31.9132	31.9134	-4007.6953	-4008.0661	0.8821	Œ»∂®∫Ωº£
1369.0000	0	2149900.0236	2149898.4883	347.8350	347.8353	31.9319	31.9320	-4007.6901	-4007.4988	0.9729	Œ»∂®∫Ωº£
1369.2000	0	2149098.6101	2149097.0465	347.8229	347.8233	31.9506	31.9507	-4007.6661	-4006.9306	0.9475	Œ»∂®∫Ωº£
1369.4000	0	2148297.2834	2148295.7184	347.8107	347.8113	31.9693	31.9693	-4007.6274	-4006.3615	0.7480	Œ»∂®∫Ωº£
1369.6000	0	2147496.0900	2147494.5042	347.7987	347.7992	31.9880	31.9880	-4005.1088	-4005.7915	0.7798	Œ»∂®∫Ωº£
1369.8000	0	2146695.0165	2146693.4041	347.7868	347.7872	32.0067	32.0066	-4005.1182	-4005.2206	0.9361	Œ»∂®∫Ωº£
1370.0000	0	2145894.0526	2145892.4183	347.7748	347.7751	32.0254	32.0253	-4005.1075	-4004.6489	0.9385	Œ»∂®∫Ωº£
1370.2000	0	2145093.1802	2145091.5469	347.7627	347.7630	32.0441	32.0440	-4005.0791	-4004.0762	0.8703	Œ»∂®∫Ωº£
1370.4000	0	2144292.4540	2144290.7901	347.7507	347.7509	32.0628	32.0627	-4002.5697	-4003.5026	0.7173	Œ»∂®∫Ωº£
1370.6000	0	2143491.8575	2143490.1482	347.7386	347.7388	32.0815	32.0814	-4002.5855	-4002.9280	0.9015	Œ»∂®∫Ωº£
1370.8000	0	2142691.3742	2142689.6212	347.7265	347.7266	32.1002	32.1001	-4002.5794	-4002.3526	0.9732	Œ»∂®∫Ωº£
1371.0000	0	2141890.9848	2141889.2094	347.7144	347.7145	32.1189	32.1188	-4002.5548	-4001.7763	0.9071	Œ»∂®∫Ωº£
1371.2000	0	2141090.6809	2141088.9130	347.7022	347.7023	32.1376	32.1376	-4002.5158	-4001.1991	0.7165	Œ»∂®∫Ωº£
1371.4000	0	2140290.5130	2140288.7321	347.6901	347.6901	32.1562	32.1563	-3999.9972	-4000.6209	0.7882	Œ»∂®∫Ωº£
1371.6000	0	2139490.4748	2139488.6670	347.6778	347.6779	32.1750	32.1750	-4000.0060	-4000.0419	0.9538	Œ»∂®∫Ωº£
1371.8000	0	2138690.5387	2138688.7177	347.6655	347.6657	32.1937	32.1938	-3999.9929	-3999.4619	0.9394	Œ»∂®∫Ωº£
1372.0000	0	2137890.6958	2137888.8845	347.6532	347.6535	32.2124	32.2125	-3999.9635	-3998.8810	0.8323	Œ»∂®∫Ωº£
1372.2000	0	2137090.9965	2137089.1676	347.6410	347.6413	32.2311	32.2313	-3997.4529	-3998.2992	0.7056	Œ»∂®∫Ωº£
1372.4000	0	2136291.4372	2136289.5672	347.6286	347.6290	32.2500	32.2501	-3997.4682	-3997.7164	0.9150	Œ»∂®∫Ωº£
1372.6000	0	2135491.9816	2135490.0834	347.6163	347.6167	32.2687	32.2688	-3997.4593	-3997.1328	0.9578	Œ»∂®∫Ωº£
1372.8000	0	2134692.6200	2134690.7164	347.6041	347.6044	32.2874	32.2876	-3997.4340	-3996.5482	0.9118	Œ»∂®∫Ωº£
1373.0000	0	2133893.3383	2133891.4664	347.5918	347.5921	32.3062	32.3064	-3997.3944	-3995.9627	0.7166	Œ»∂®∫Ωº£
1373.2000	0	2133094.2029	2133092.3336	347.5795	347.5798	32.3249	32.3252	-3994.8763	-3995.3763	0.8457	Œ»∂®∫Ωº£
1373.4000	0	2132295.1855	2132293.3182	347.5672	347.5675	32.3437	32.3440	-3994.8835	-3994.7889	0.9744	Œ»∂®∫Ωº£
1373.6000	0	2131496.2770	2131494.4204	347.5551	347.5551	32.3626	32.3628	-3994.8712	-3994.2007	0.9394	Œ»∂®∫Ωº£
1373.8000	0	2130697.4635	2130695.6403	347.5426	347.5428	32.3814	32.3817	-3994.8413	-3993.6115	0.7636	Œ»∂®∫Ωº£
1374.0000	0	2129898.7956	2129896.9781	347.5303	347.5304	32.4003	32.4005	-3992.3297	-3993.0213	0.7532	Œ»∂®∫Ωº£
1374.2000	0	2129100.2540	2129098.4341	347.5180	347.5180	32.4191	32.4193	-3992.3437	-3992.4303	0.9275	Œ»∂®∫Ωº£
1374.4000	0	2128301.8288	2128300.0084	347.5055	347.5056	32.4379	32.4382	-3992.3363	-3991.8383	0.9845	Œ»∂®∫Ωº£
1374.6000	0	2127503.4979	2127501.7011	347.4931	347.4932	32.4568	32.4570	-3992.3099	-3991.2453	0.8530	Œ»∂®∫Ωº£
1374.8000	0	2126705.3208	2126703.5126	347.4806	347.4807	32.4757	32.4759	-3989.8020	-3990.6515	0.7238	Œ»∂®∫Ωº£
1375.0000	0	2125907.2815	2125905.4429	347.4679	347.4683	32.4946	32.4948	-3989.8180	-3990.0566	0.9110	Œ»∂®∫Ωº£
1375.2000	0	2125109.3488	2125107.4923	347.4554	347.4558	32.5134	32.5136	-3989.8104	-3989.4609	0.9757	Œ»∂®∫Ωº£
1375.4000	0	2124311.5112	2124309.6609	347.4432	347.4433	32.5322	32.5325	-3989.7859	-3988.8642	0.9201	Œ»∂®∫Ωº£
1375.6000	0	2123513.7626	2123511.9489	347.4306	347.4308	32.5511	32.5514	-3989.7470	-3988.2666	0.6510	Œ»∂®∫Ωº£
1375.8000	0	2122716.1569	2122714.3566	347.4182	347.4183	32.5699	32.5703	-3987.2277	-3987.6680	0.8695	Œ»∂®∫Ωº£
1376.0000	0	2121918.6813	2121916.8841	347.4056	347.4058	32.5889	32.5892	-3987.2346	-3987.0685	1.0036	Œ»∂®∫Ωº£
1376.2000	0	2121121.3127	2121119.5315	347.3930	347.3932	32.6078	32.6081	-3987.2195	-3986.4680	0.9075	Œ»∂®∫Ωº£
1376.4000	0	2120324.0329	2120322.2992	347.3804	347.3806	32.6267	32.6271	-3987.1875	-3985.8666	0.7049	Œ»∂®∫Ωº£
1376.6000	0	2119526.9066	2119525.1872	347.3677	347.3681	32.6457	32.6460	-3984.6752	-3985.2643	0.8047	Œ»∂®∫Ωº£
1376.8000	0	2118729.9095	2118728.1958	347.3551	347.3555	32.6647	32.6649	-3984.6869	-3984.6610	0.9378	Œ»∂®∫Ωº£
1377.0000	0	2117933.0199	2117931.3252	347.3425	347.3428	32.6836	32.6839	-3984.6768	-3984.0567	0.9674	Œ»∂®∫Ωº£
1377.2000	0	2117136.2298	2117134.5755	347.3300	347.3302	32.7026	32.7028	-3984.6496	-3983.4515	0.7809	Œ»∂®∫Ωº£
1377.4000	0	2116339.5964	2116337.9470	347.3173	347.3176	32.7216	32.7218	-3982.1400	-3982.8453	0.7342	Œ»∂®∫Ωº£
1377.6000	0	2115543.0985	2115541.4397	347.3046	347.3049	32.7407	32.7408	-3982.1537	-3982.2382	0.9643	Œ»∂®∫Ωº£
1377.8000	0	2114746.7132	2114745.0540	347.2919	347.2922	32.7597	32.7598	-3982.1444	-3981.6301	0.9692	Œ»∂®∫Ωº£
1378.0000	0	2113950.4264	2113948.7901	347.2793	347.2795	32.7788	32.7787	-3982.1171	-3981.0211	0.8106	Œ»∂®∫Ωº£
1378.2000	0	2113154.2977	2113152.6480	347.2666	347.2668	32.7978	32.7977	-3979.6077	-3980.4111	0.7665	Œ»∂®∫Ωº£
1378.4000	0	2112358.3023	2112356.6280	347.2537	347.2541	32.8168	32.8167	-3979.6213	-3979.8001	0.9461	Œ»∂®∫Ωº£
1378.6000	0	2111562.4196	2111560.7303	347.2410	347.2414	32.8357	32.8357	-3979.6125	-3979.1882	0.9418	Œ»∂®∫Ωº£
1378.8000	0	2110766.6408	2110764.9551	347.2283	347.2286	32.8548	32.8548	-3979.5857	-3978.5753	0.8560	Œ»∂®∫Ωº£
1379.0000	0	2109971.0179	2109969.3025	347.2156	347.2158	32.8737	32.8738	-3977.0757	-3977.9615	0.6453	Œ»∂®∫Ωº£
1379.2000	0	2109175.5351	2109173.7728	347.2028	347.2031	32.8928	32.8928	-3977.0894	-3977.3466	0.9025	Œ»∂®∫Ωº£
1379.4000	0	2108380.1640	2108378.3662	347.1901	347.1902	32.9118	32.9119	-3977.0792	-3976.7308	0.9852	Œ»∂®∫Ωº£
1379.6000	0	2107584.8986	2107583.0829	347.1774	347.1774	32.9309	32.9309	-3977.0514	-3976.1141	0.9118	Œ»∂®∫Ωº£
1379.8000	0	2106789.7224	2106787.9230	347.1644	347.1646	32.9500	32.9500	-3977.0071	-3975.4964	0.6941	Œ»∂®∫Ωº£
1380.0000	0	2105994.6899	2105992.8867	347.1516	347.1517	32.9691	32.9690	-3974.4828	-3974.8776	0.8983	Œ»∂®∫Ωº£
1380.2000	0	2105199.7841	2105197.9743	347.1387	347.1389	32.9882	32.9881	-3974.4847	-3974.2580	0.9411	Œ»∂®∫Ωº£
1380.4000	0	2104404.9829	2104403.1859	347.1258	347.1260	33.0073	33.0072	-3974.4657	-3973.6373	0.9048	Œ»∂®∫Ωº£
1380.6000	0	2103610.2729	2103608.5217	347.1129	347.1131	33.0263	33.0263	-3974.4304	-3973.0157	0.6969	Œ»∂®∫Ωº£
1380.8000	0	2102815.7168	2102813.9820	347.1000	347.1002	33.0455	33.0454	-3971.9145	-3972.3931	0.8745	Œ»∂®∫Ωº£
1381.0000	0	2102021.2906	2102019.5669	347.0871	347.0872	33.0646	33.0645	-3971.9226	-3971.7695	0.9395	Œ»∂®∫Ωº£
1381.2000	0	2101226.9775	2101225.2766	347.0741	347.0743	33.0837	33.0836	-3971.9091	-3971.1449	0.8952	Œ»∂®∫Ωº£
1381.4000	0	2100432.7589	2100431.1113	347.0612	347.0613	33.1028	33.1027	-3971.8774	-3970.5194	0.7219	Œ»∂®∫Ωº£
1381.6000	0	2099638.6959	2099637.0712	347.0481	347.0483	33.1219	33.1218	-3969.3428	-3969.8928	0.9301	Œ»∂®∫Ωº£
1381.8000	0	2098844.7718	2098843.1565	347.0351	347.0353	33.1411	33.1410	-3969.3652	-3969.2653	0.9703	Œ»∂®∫Ωº£
1382.0000	0	2098050.9571	2098049.3675	347.0221	347.0223	33.1602	33.1601	-3969.3413	-3968.6368	0.9985	Œ»∂®∫Ωº£
