À—À˜’º”√◊ ‘¥±»¿˝	0
∏˙◊Ÿ’º”√◊ ‘¥±»¿˝	0.49858
≥…œÒ’º”√◊ ‘¥±»¿˝	0
ø’œ–◊ ‘¥±»¿˝	0.50142
 ±º‰(√Î)	∫Ωº£∫≈	¬À≤®–±æ‡(√◊)	’Ê÷µ–±æ‡(√◊)	¬À≤®∑ΩŒª(∂»)	’Ê÷µ∑ΩŒª(∂»)	¬À≤®∏©—ˆ(∂»)	’Ê÷µ∏©—ˆ(∂»)	¬À≤®ÀŸ∂»(m/s)	’Ê÷µÀŸ∂»(m/s)	RCS	∫Ωº£◊¥Ã¨
1353.0680	2	2214106.3135	2214091.4504	348.7470	348.7470	30.4703	30.4706	-4050.9194	-4049.9863	0.0000	Œ»∂®∫Ωº£
1353.2000	0	2213966.3228	2213556.8796	348.7398	348.7398	30.4831	30.4825	-4051.0243	-4049.6560	0.0000	Œ»∂®∫Ωº£
1353.2340	1	2214216.5009	2213419.1879	348.7380	348.7379	30.4863	30.4856	-4051.1341	-4049.5708	0.0000	Œ»∂®∫Ωº£
1353.2680	2	2213296.0794	2213281.5042	348.7361	348.7361	30.4882	30.4886	-4050.9166	-4049.4856	0.0000	Œ»∂®∫Ωº£
1353.4000	0	2213156.3144	2212746.9996	348.7289	348.7289	30.5011	30.5005	-4049.4762	-4049.1547	0.0000	Œ»∂®∫Ωº£
1353.4340	1	2213406.4762	2212609.3249	348.7271	348.7270	30.5043	30.5036	-4049.6119	-4049.0694	0.0000	Œ»∂®∫Ωº£
1353.4680	2	2212485.9420	2212471.6583	348.7249	348.7252	30.5061	30.5067	-4050.9092	-4048.9841	0.0000	Œ»∂®∫Ωº£
1353.6000	0	2212346.4086	2211937.2199	348.7180	348.7179	30.5192	30.5186	-4049.4605	-4048.6527	0.0000	Œ»∂®∫Ωº£
1353.6340	1	2212596.5541	2211799.5623	348.7161	348.7161	30.5224	30.5217	-4049.6200	-4048.5672	0.0000	Œ»∂®∫Ωº£
1353.6680	2	2211675.9277	2211661.9128	348.7140	348.7142	30.5240	30.5248	-4049.3876	-4048.4818	0.0000	Œ»∂®∫Ωº£
1353.8000	0	2211536.5904	2211127.5407	348.7070	348.7070	30.5373	30.5367	-4049.4364	-4048.1498	0.0000	Œ»∂®∫Ωº£
1353.8340	1	2211786.7182	2210989.9002	348.7052	348.7051	30.5405	30.5398	-4049.6175	-4048.0643	0.0000	Œ»∂®∫Ωº£
1353.8680	2	2210866.0155	2210852.2679	348.7033	348.7033	30.5421	30.5428	-4049.4001	-4047.9787	0.0000	Œ»∂®∫Ωº£
1354.0000	0	2210726.8931	2210317.9622	348.6961	348.6960	30.5554	30.5548	-4047.8959	-4047.6462	0.0000	Œ»∂®∫Ωº£
1354.0340	1	2210977.0018	2210180.3388	348.6942	348.6942	30.5586	30.5579	-4048.0961	-4047.5605	0.0000	Œ»∂®∫Ωº£
1354.0680	2	2210056.2005	2210042.7236	348.6922	348.6923	30.5601	30.5609	-4049.4056	-4047.4748	0.0000	Œ»∂®∫Ωº£
1354.2000	0	2209917.3004	2209508.4845	348.6851	348.6851	30.5735	30.5729	-4047.8880	-4047.1417	0.0000	Œ»∂®∫Ωº£
1354.2340	1	2210167.3876	2209370.8783	348.6833	348.6832	30.5767	30.5759	-4048.1044	-4047.0559	0.0000	Œ»∂®∫Ωº£
1354.2680	2	2209246.5117	2209233.2802	348.6812	348.6813	30.5783	30.5790	-4047.8942	-4046.9700	0.0000	Œ»∂®∫Ωº£
1354.4000	0	2209107.7968	2208699.1077	348.6741	348.6741	30.5916	30.5910	-4047.8716	-4046.6365	0.0000	Œ»∂®∫Ωº£
1354.4340	1	2209357.8604	2208561.5187	348.6723	348.6722	30.5948	30.5940	-4048.1017	-4046.5505	0.0000	Œ»∂®∫Ωº£
1354.4680	2	2208436.9243	2208423.9378	348.6703	348.6703	30.5965	30.5971	-4047.9137	-4046.4645	0.0000	Œ»∂®∫Ωº£
1354.6000	0	2208298.4141	2207889.8321	348.6631	348.6631	30.6097	30.6091	-4046.3385	-4046.1304	0.0000	Œ»∂®∫Ωº£
1354.6340	1	2208548.4519	2207752.2603	348.6613	348.6612	30.6129	30.6121	-4046.5794	-4046.0443	0.0000	Œ»∂®∫Ωº£
1354.6680	2	2207627.4177	2207614.6966	348.6594	348.6593	30.6146	30.6152	-4047.9229	-4045.9582	0.0000	Œ»∂®∫Ωº£
1354.8000	0	2207489.1365	2207080.6578	348.6521	348.6521	30.6278	30.6272	-4046.3372	-4045.6236	0.0000	Œ»∂®∫Ωº£
1354.8340	1	2207739.1458	2206943.1032	348.6503	348.6502	30.6310	30.6303	-4046.5865	-4045.5373	0.0000	Œ»∂®∫Ωº£
1354.8680	2	2206818.0386	2206805.5568	348.6484	348.6483	30.6327	30.6333	-4046.4140	-4045.4510	0.0000	Œ»∂®∫Ωº£
1355.0000	0	2206679.9472	2206271.5849	348.6411	348.6410	30.6459	30.6453	-4046.3268	-4045.1159	0.0000	Œ»∂®∫Ωº£
1355.0340	1	2206929.9256	2206134.0476	348.6393	348.6392	30.6492	30.6484	-4046.5819	-4045.0295	0.0000	Œ»∂®∫Ωº£
1355.0680	2	2206008.7648	2205996.5184	348.6373	348.6373	30.6509	30.6515	-4046.4345	-4044.9431	0.0000	Œ»∂®∫Ωº£
1355.2000	0	2205870.8789	2205462.6137	348.6301	348.6300	30.6640	30.6634	-4044.7988	-4044.6074	0.0000	Œ»∂®∫Ωº£
1355.2340	1	2206120.8239	2205325.0937	348.6282	348.6281	30.6673	30.6665	-4045.0576	-4044.5209	0.0000	Œ»∂®∫Ωº£
1355.2680	2	2205199.5716	2205187.5818	348.6261	348.6263	30.6690	30.6696	-4046.4428	-4044.4343	0.0000	Œ»∂®∫Ωº£
1355.4000	0	2205061.9144	2204653.7442	348.6190	348.6190	30.6822	30.6816	-4044.8019	-4044.0981	0.0000	Œ»∂®∫Ωº£
1355.4340	1	2205311.8244	2204516.2415	348.6172	348.6171	30.6854	30.6846	-4045.0623	-4044.0115	0.0000	Œ»∂®∫Ωº£
1355.4680	2	2204390.4995	2204378.7469	348.6148	348.6152	30.6870	30.6877	-4044.9311	-4043.9248	0.0000	Œ»∂®∫Ωº£
1355.6000	0	2204253.0389	2203844.9767	348.6079	348.6079	30.7003	30.6997	-4044.7950	-4043.5880	0.0000	Œ»∂®∫Ωº£
1355.6340	1	2204502.9111	2203707.4913	348.6061	348.6060	30.7036	30.7028	-4045.0553	-4043.5012	0.0000	Œ»∂®∫Ωº£
1355.6680	2	2203581.5298	2203570.0141	348.6036	348.6041	30.7053	30.7059	-4044.9478	-4043.4144	0.0000	Œ»∂®∫Ωº£
1355.8000	0	2203444.2828	2203036.3113	348.5969	348.5968	30.7185	30.7179	-4043.2697	-4043.0771	0.0000	Œ»∂®∫Ωº£
1355.8340	1	2203694.1158	2202898.8433	348.5950	348.5949	30.7217	30.7209	-4043.5285	-4042.9902	0.0000	Œ»∂®∫Ωº£
1355.8680	2	2202772.6854	2202761.3834	348.5927	348.5930	30.7235	30.7240	-4043.4517	-4042.9032	0.0000	Œ»∂®∫Ωº£
1356.0000	0	2202635.6307	2202227.7481	348.5858	348.5857	30.7366	30.7360	-4043.2747	-4042.5654	0.0000	Œ»∂®∫Ωº£
1356.0340	1	2202885.4224	2202090.2975	348.5839	348.5838	30.7399	30.7391	-4043.5307	-4042.4783	0.0000	Œ»∂®∫Ωº£
1356.0680	2	2201963.9500	2201952.8550	348.5817	348.5819	30.7416	30.7422	-4043.4903	-4042.3912	0.0000	Œ»∂®∫Ωº£
1356.2000	0	2201827.0673	2201419.2873	348.5747	348.5746	30.7548	30.7542	-4043.2690	-4042.0528	0.0000	Œ»∂®∫Ωº£
1356.2340	1	2202076.8161	2201281.8542	348.5728	348.5727	30.7580	30.7573	-4043.5212	-4041.9656	0.0000	Œ»∂®∫Ωº£
1356.2680	2	2201155.3063	2201144.4292	348.5708	348.5708	30.7598	30.7603	-4043.5213	-4041.8784	0.0000	Œ»∂®∫Ωº£
1356.4000	0	2201018.6235	2200610.9292	348.5636	348.5635	30.7730	30.7723	-4041.7440	-4041.5395	0.0000	Œ»∂®∫Ωº£
1356.4340	1	2201268.3290	2200473.5135	348.5617	348.5616	30.7762	30.7754	-4041.9918	-4041.4521	0.0000	Œ»∂®∫Ωº£
1356.4680	2	2200346.7910	2200336.1059	348.5597	348.5597	30.7780	30.7785	-4042.0353	-4041.3647	0.0000	Œ»∂®∫Ωº£
1356.6000	0	2200210.2819	2199802.6738	348.5524	348.5524	30.7911	30.7905	-4041.7486	-4041.0253	0.0000	Œ»∂®∫Ωº£
1356.6340	1	2200459.9441	2199665.2756	348.5506	348.5505	30.7944	30.7936	-4041.9915	-4040.9378	0.0000	Œ»∂®∫Ωº£
1356.6680	2	2199538.3848	2199527.8855	348.5486	348.5486	30.7962	30.7967	-4042.0790	-4040.8503	0.0000	Œ»∂®∫Ωº£
1356.8000	0	2199402.0283	2198994.5213	348.5413	348.5412	30.8093	30.8087	-4041.7418	-4040.5103	0.0000	Œ»∂®∫Ωº£
1356.8340	1	2199651.6458	2198857.1406	348.5394	348.5393	30.8126	30.8118	-4041.9794	-4040.4227	0.0000	Œ»∂®∫Ωº£
1356.8680	2	2198730.0703	2198719.7681	348.5375	348.5374	30.8145	30.8149	-4042.1102	-4040.3350	0.0000	Œ»∂®∫Ωº£
1357.0000	0	2198593.8946	2198186.4719	348.5301	348.5301	30.8275	30.8269	-4040.2154	-4039.9945	0.0000	Œ»∂®∫Ωº£
1357.0340	1	2198843.4662	2198049.1087	348.5283	348.5282	30.8308	30.8300	-4040.4475	-4039.9067	0.0000	Œ»∂®∫Ωº£
1357.0680	2	2197921.8716	2197911.7537	348.5264	348.5263	30.8327	30.8331	-4040.6193	-4039.8189	0.0000	Œ»∂®∫Ωº£
1357.2000	0	2197785.8625	2197378.5258	348.5190	348.5189	30.8457	30.8451	-4040.2181	-4039.4779	0.0000	Œ»∂®∫Ωº£
1357.2340	1	2198035.3889	2197241.1801	348.5171	348.5170	30.8490	30.8482	-4040.4449	-4039.3900	0.0000	Œ»∂®∫Ωº£
1357.2680	2	2197113.7740	2197103.8427	348.5152	348.5151	30.8510	30.8513	-4040.6550	-4039.3020	0.0000	Œ»∂®∫Ωº£
1357.4000	0	2196977.9193	2196570.6830	348.5078	348.5077	30.8639	30.8633	-4040.2092	-4038.9604	0.0000	Œ»∂®∫Ωº£
1357.4340	1	2197227.3994	2196433.3550	348.5059	348.5058	30.8672	30.8664	-4040.4306	-4038.8724	0.0000	Œ»∂®∫Ωº£
1357.4680	2	2196305.7985	2196296.0352	348.5041	348.5039	30.8691	30.8695	-4039.1759	-4038.7843	0.0000	Œ»∂®∫Ωº£
1357.6000	0	2196170.0941	2195762.9438	348.4966	348.4965	30.8821	30.8815	-4038.6802	-4038.4421	0.0000	Œ»∂®∫Ωº£
1357.6340	1	2196419.5294	2195625.6334	348.4947	348.4946	30.8854	30.8846	-4038.8967	-4038.3539	0.0000	Œ»∂®∫Ωº£
1357.6680	2	2195497.9361	2195488.3313	348.4929	348.4927	30.8872	30.8877	-4039.2297	-4038.2657	0.0000	Œ»∂®∫Ωº£
1357.8000	0	2195362.3717	2194955.3084	348.4854	348.4853	30.9003	30.8997	-4038.6803	-4037.9230	0.0000	Œ»∂®∫Ωº£
1357.8340	1	2195611.7614	2194818.0157	348.4835	348.4834	30.9036	30.9028	-4038.8921	-4037.8347	0.0000	Œ»∂®∫Ωº£
1357.8680	2	2194690.1751	2194680.7311	348.4817	348.4815	30.9055	30.9059	-4039.2732	-4037.7463	0.0000	Œ»∂®∫Ωº£
1358.0000	0	2194554.7370	2194147.7769	348.4741	348.4741	30.9186	30.9180	-4038.6685	-4037.4031	0.0000	Œ»∂®∫Ωº£
1358.0340	1	2194804.1260	2194010.5018	348.4723	348.4722	30.9218	30.9211	-4037.3761	-4037.3146	0.0000	Œ»∂®∫Ωº£
1358.0680	2	2193882.5318	2193873.2350	348.4704	348.4703	30.9237	30.9242	-4037.7956	-4037.2261	0.0000	Œ»∂®∫Ωº£
1358.2000	0	2193747.2212	2193340.3494	348.4629	348.4628	30.9368	30.9362	-4037.1366	-4036.8823	0.0000	Œ»∂®∫Ωº£
1358.2340	1	2193996.6041	2193203.0921	348.4610	348.4609	30.9401	30.9393	-4037.3957	-4036.7937	0.0000	Œ»∂®∫Ωº£
1358.2680	2	2193074.9953	2193065.8429	348.4592	348.4590	30.9420	30.9424	-4037.8451	-4036.7051	0.0000	Œ»∂®∫Ωº£
1358.4000	0	2192939.8078	2192533.0262	348.4516	348.4516	30.9550	30.9545	-4037.1338	-4036.3608	0.0000	Œ»∂®∫Ωº£
1358.4340	1	2193189.1799	2192395.7866	348.4498	348.4497	30.9583	30.9576	-4037.4085	-4036.2720	0.0000	Œ»∂®∫Ωº£
1358.4680	2	2192267.5452	2192258.5552	348.4481	348.4478	30.9603	30.9607	-4037.8794	-4036.1832	0.0000	Œ»∂®∫Ωº£
1358.6000	0	2192132.5267	2191725.8074	348.4404	348.4403	30.9733	30.9727	-4035.6192	-4035.8383	0.0000	Œ»∂®∫Ωº£
1358.6340	1	2192381.8822	2191588.5855	348.4385	348.4384	30.9765	30.9758	-4035.9047	-4035.7495	0.0000	Œ»∂®∫Ωº£
1358.6680	2	2191460.2087	2191451.3719	348.4369	348.4365	30.9786	30.9789	-4036.3897	-4035.6605	0.0000	Œ»∂®∫Ωº£
1358.8000	0	2191325.3592	2190918.6931	348.4291	348.4290	30.9915	30.9910	-4035.6399	-4035.3151	0.0000	Œ»∂®∫Ωº£
1358.8340	1	2191574.6935	2190781.4890	348.4272	348.4271	30.9948	30.9941	-4035.9318	-4035.2261	0.0000	Œ»∂®∫Ωº£
1358.8680	2	2190652.9790	2190644.2932	348.4257	348.4252	30.9969	30.9972	-4036.4248	-4035.1370	0.0000	Œ»∂®∫Ωº£
1359.0000	0	2190518.2895	2190111.6836	348.4178	348.4178	31.0098	31.0092	-4035.6534	-4034.7910	0.0000	Œ»∂®∫Ωº£
1359.0340	1	2190767.5973	2189974.4973	348.4159	348.4158	31.0131	31.0123	-4035.9477	-4034.7019	0.0000	Œ»∂®∫Ωº£
1359.0680	2	2189845.8775	2189837.3193	348.4144	348.4139	31.0153	31.0154	-4034.9428	-4034.6127	0.0000	Œ»∂®∫Ωº£
